,Upper,SMA,Lower,Signal
2023-09-04 09:00:00,,,,0
2023-09-05 09:00:00,,,,0
2023-09-06 09:00:00,,,,0
2023-09-07 09:00:00,,,,0
2023-09-08 09:00:00,,,,0
2023-09-09 09:00:00,,,,0
2023-09-10 09:00:00,,,,0
2023-09-11 09:00:00,,,,0
2023-09-12 09:00:00,,,,0
2023-09-13 09:00:00,,,,0
2023-09-14 09:00:00,,,,0
2023-09-15 09:00:00,,,,0
2023-09-16 09:00:00,,,,0
2023-09-17 09:00:00,,,,0
2023-09-18 09:00:00,,,,0
2023-09-19 09:00:00,,,,0
2023-09-20 09:00:00,,,,0
2023-09-21 09:00:00,,,,0
2023-09-22 09:00:00,,,,0
2023-09-23 09:00:00,36692837.15587091,35591050.0,34489262.84412909,0
2023-09-24 09:00:00,36685332.773138545,35617200.0,34549067.226861455,0
2023-09-25 09:00:00,36676237.04345823,35638950.0,34601662.95654177,0
2023-09-26 09:00:00,36663660.36360964,35665800.0,34667939.63639036,0
2023-09-27 09:00:00,36691529.356757455,35684150.0,34676770.643242545,0
2023-09-28 09:00:00,36816983.262060635,35749200.0,34681416.737939365,0
2023-09-29 09:00:00,36894222.38901449,35807400.0,34720577.61098551,0
2023-09-30 09:00:00,36979413.12772224,35877600.0,34775786.87227776,0
2023-10-01 09:00:00,37212937.42478848,36050700.0,34888462.57521152,0
2023-10-02 09:00:00,37388810.845581666,36168050.0,34947289.154418334,0
2023-10-03 09:00:00,37513179.56309638,36253050.0,34992920.43690362,0
2023-10-04 09:00:00,37719838.63644678,36338350.0,34956861.36355322,0
2023-10-05 09:00:00,37830505.937676266,36404850.0,34979194.062323734,0
2023-10-06 09:00:00,38033687.74842061,36497850.0,34962012.25157939,0
2023-10-07 09:00:00,38220678.34118559,36605050.0,34989421.65881441,0
2023-10-08 09:00:00,38393550.577818155,36701500.0,35009449.422181845,0
2023-10-09 09:00:00,38491167.304263115,36756250.0,35021332.695736885,0
2023-10-10 09:00:00,38547183.38841752,36798000.0,35048816.61158248,0
2023-10-11 09:00:00,38542208.13673049,36830950.0,35119691.86326951,0
2023-10-12 09:00:00,38532306.59303104,36870850.0,35209393.40696896,0
2023-10-13 09:00:00,38526574.54498673,36921250.0,35315925.45501327,0
2023-10-14 09:00:00,38453382.4621101,36984050.0,35514717.5378899,0
2023-10-15 09:00:00,38354165.04015031,37063800.0,35773434.95984969,0
2023-10-16 09:00:00,38505301.651762985,37220350.0,35935398.348237015,0
2023-10-17 09:00:00,38651815.57816657,37353850.0,36055884.42183343,0
2023-10-18 09:00:00,38839386.06577776,37459550.0,36079713.93422224,0
2023-10-19 09:00:00,39042557.60320342,37587350.0,36132142.39679658,0
2023-10-20 09:00:00,39576705.864696875,37769850.0,35962994.135303125,0
2023-10-21 09:00:00,40056610.84800458,37900400.0,35744189.15199542,0
2023-10-22 09:00:00,40450750.67405567,38046900.0,35643049.32594433,0
2023-10-23 09:00:00,42005658.680467404,38396000.0,34786341.319532596,0
2023-10-24 09:00:00,43606915.60931263,38796200.0,33985484.39068737,0
2023-10-25 09:00:00,45104846.37070076,39257500.0,33410153.62929924,0
2023-10-26 09:00:00,46230990.162492774,39674650.0,33118309.837507226,0
2023-10-27 09:00:00,47150124.364275165,40078550.0,33006975.635724835,0
2023-10-28 09:00:00,48013102.132806666,40497800.0,32982497.867193334,0
2023-10-29 09:00:00,48848352.45727801,40959300.0,33070247.54272199,0
2023-10-30 09:00:00,49525986.70253476,41429100.0,33332213.297465242,0
2023-10-31 09:00:00,50087567.2336639,41947050.0,33806532.7663361,0
2023-11-01 09:00:00,50707814.704335205,42513500.0,34319185.295664795,0
2023-11-02 09:00:00,51088870.51632143,43040900.0,34992929.48367857,0
2023-11-03 09:00:00,51170440.19820009,43535200.0,35899959.80179991,0
2023-11-04 09:00:00,51181573.33751483,44033400.0,36885226.66248517,0
2023-11-05 09:00:00,51254957.65832518,44451350.0,37647742.34167482,0
2023-11-06 09:00:00,51155065.79264032,44857800.0,38560534.20735968,0
2023-11-07 09:00:00,50959951.01021151,45287350.0,39614748.98978849,0
2023-11-08 09:00:00,50618920.60468139,45710250.0,40801579.39531861,0
2023-11-09 09:00:00,50617830.39548903,46167750.0,41717669.60451097,0
2023-11-10 09:00:00,50517568.38209618,46649250.0,42780931.61790382,0
2023-11-11 09:00:00,49866979.704087585,47113000.0,44359020.295912415,0
2023-11-12 09:00:00,49944333.8274247,47374950.0,44805566.1725753,0
2023-11-13 09:00:00,50096520.26011853,47552700.0,45008879.73988147,0
2023-11-14 09:00:00,50125719.25284176,47626950.0,45128180.74715824,0
