,open,high,low,close,volume,value
2024-03-21 18:50:00,97641000.0,97680000.0,97597000.0,97597000.0,3.43386503,335222633.20421
2024-03-21 18:51:00,97597000.0,97627000.0,97502000.0,97531000.0,4.0908033,399106885.33954
2024-03-21 18:52:00,97533000.0,97533000.0,97400000.0,97443000.0,4.60936595,449265475.22722
2024-03-21 18:53:00,97413000.0,97458000.0,97413000.0,97457000.0,3.41341695,332608481.0085
2024-03-21 18:54:00,97457000.0,97530000.0,97416000.0,97493000.0,7.66550385,747309084.21172
2024-03-21 18:55:00,97458000.0,97500000.0,97458000.0,97458000.0,2.02150578,197050580.72165
2024-03-21 18:56:00,97496000.0,97496000.0,97433000.0,97433000.0,3.14790864,306760993.75035
2024-03-21 18:57:00,97458000.0,97496000.0,97428000.0,97481000.0,3.63066792,353798057.57799
2024-03-21 18:58:00,97457000.0,97496000.0,97438000.0,97460000.0,2.42458779,236332369.68164
2024-03-21 18:59:00,97460000.0,97460000.0,97428000.0,97428000.0,3.62814274,353511890.19219
2024-03-21 19:00:00,97429000.0,97430000.0,97356000.0,97390000.0,7.82355586,761896049.94229
2024-03-21 19:01:00,97390000.0,97554000.0,97357000.0,97491000.0,4.2301832,412328152.80873
2024-03-21 19:02:00,97491000.0,97531000.0,97434000.0,97434000.0,6.41815442,625531631.47127
2024-03-21 19:03:00,97434000.0,97438000.0,97365000.0,97379000.0,3.52760658,343612231.56716
2024-03-21 19:04:00,97379000.0,97417000.0,97301000.0,97363000.0,5.39495923,525240935.78501
2024-03-21 19:05:00,97412000.0,97412000.0,97291000.0,97291000.0,5.39835514,525311055.87076
2024-03-21 19:06:00,97291000.0,97472000.0,97278000.0,97399000.0,4.78547413,465754861.75712
2024-03-21 19:07:00,97500000.0,97500000.0,97412000.0,97489000.0,2.16005357,210557917.84682
2024-03-21 19:08:00,97490000.0,97611000.0,97462000.0,97555000.0,4.23055449,412615908.04198
2024-03-21 19:09:00,97555000.0,97600000.0,97500000.0,97594000.0,3.04896095,297408367.14844
2024-03-21 19:10:00,97594000.0,97679000.0,97503000.0,97503000.0,9.03047357,881629865.60107
2024-03-21 19:11:00,97503000.0,97609000.0,97501000.0,97521000.0,3.30482733,322254438.62128
2024-03-21 19:12:00,97521000.0,97704000.0,97521000.0,97704000.0,3.06952713,299634350.38141
2024-03-21 19:13:00,97705000.0,97800000.0,97614000.0,97722000.0,4.23777635,414195587.07755
2024-03-21 19:14:00,97750000.0,97750000.0,97705000.0,97720000.0,4.97912502,486606297.43312
2024-03-21 19:15:00,97720000.0,97800000.0,97720000.0,97741000.0,2.85328604,278928177.86173
2024-03-21 19:16:00,97741000.0,97798000.0,97576000.0,97576000.0,5.29454636,517250087.01474
2024-03-21 19:17:00,97636000.0,97636000.0,97551000.0,97551000.0,6.15770442,600828749.64829
2024-03-21 19:18:00,97550000.0,97551000.0,97510000.0,97527000.0,2.62353081,255870448.95904
2024-03-21 19:19:00,97527000.0,97572000.0,97510000.0,97523000.0,4.88671799,476563436.23591
2024-03-21 19:20:00,97511000.0,97523000.0,97499000.0,97500000.0,3.85697907,376064849.54197
2024-03-21 19:21:00,97500000.0,97511000.0,97486000.0,97490000.0,2.22741037,217165407.66705
2024-03-21 19:22:00,97487000.0,97719000.0,97486000.0,97684000.0,6.62676716,646591016.72605
2024-03-21 19:23:00,97685000.0,97685000.0,97560000.0,97586000.0,1.44306567,140834909.69881
2024-03-21 19:24:00,97590000.0,97590000.0,97523000.0,97523000.0,3.11559231,303947291.17835
2024-03-21 19:25:00,97533000.0,97533000.0,97500000.0,97500000.0,2.9848406,291085500.31415
2024-03-21 19:26:00,97498000.0,97500000.0,97461000.0,97463000.0,3.10286623,302499001.79105
2024-03-21 19:27:00,97463000.0,97501000.0,97426000.0,97458000.0,5.58775239,544508583.76623
2024-03-21 19:28:00,97489000.0,97586000.0,97442000.0,97492000.0,1.74334818,169945940.25802
2024-03-21 19:29:00,97492000.0,97544000.0,97492000.0,97492000.0,1.82734187,178165039.90018
2024-03-21 19:30:00,97527000.0,97527000.0,97420000.0,97420000.0,5.38039211,524339135.09803
2024-03-21 19:31:00,97422000.0,97422000.0,97250000.0,97256000.0,6.46855007,629539340.55044
2024-03-21 19:32:00,97278000.0,97440000.0,97200000.0,97355000.0,7.59226359,738407405.55336
2024-03-21 19:33:00,97355000.0,97535000.0,97306000.0,97387000.0,2.73192523,266215535.72125
2024-03-21 19:34:00,97436000.0,97436000.0,97294000.0,97301000.0,2.76736219,269364155.62357
2024-03-21 19:35:00,97301000.0,97384000.0,97300000.0,97304000.0,1.35051098,131448803.46942
2024-03-21 19:36:00,97303000.0,97377000.0,97289000.0,97290000.0,4.18271228,406964843.96375
2024-03-21 19:37:00,97290000.0,97337000.0,97231000.0,97234000.0,2.75098961,267571307.64859
2024-03-21 19:38:00,97234000.0,97250000.0,97200000.0,97207000.0,4.53849768,441195584.06082
2024-03-21 19:39:00,97207000.0,97335000.0,97200000.0,97231000.0,3.54750155,344915543.57598
2024-03-21 19:40:00,97235000.0,97323000.0,97169000.0,97169000.0,7.65820137,744448755.28323
2024-03-21 19:41:00,97167000.0,97190000.0,97118000.0,97127000.0,6.58299671,639411320.62297
2024-03-21 19:42:00,97147000.0,97149000.0,97121000.0,97121000.0,2.60385125,252924111.801
2024-03-21 19:43:00,97121000.0,97205000.0,97034000.0,97115000.0,10.92677693,1060918372.33945
2024-03-21 19:44:00,97115000.0,97258000.0,97099000.0,97150000.0,4.5169733,438918617.64851
2024-03-21 19:45:00,97231000.0,97500000.0,97151000.0,97250000.0,7.18625825,699200560.25884
2024-03-21 19:46:00,97248000.0,97400000.0,97237000.0,97302000.0,2.63071199,256026785.56723
2024-03-21 19:47:00,97333000.0,97500000.0,97303000.0,97417000.0,3.48619539,339577181.16449
2024-03-21 19:48:00,97396000.0,97481000.0,97356000.0,97398000.0,2.05649893,200330694.86859
2024-03-21 19:49:00,97436000.0,97469000.0,97398000.0,97398000.0,2.42871269,236589650.06183
2024-03-21 19:50:00,97398000.0,97401000.0,97356000.0,97397000.0,1.79785834,175098848.17751
2024-03-21 19:51:00,97397000.0,97400000.0,97385000.0,97397000.0,1.31557199,128133862.78692
2024-03-21 19:52:00,97397000.0,97501000.0,97337000.0,97500000.0,6.95090837,677128663.41621
2024-03-21 19:53:00,97500000.0,97588000.0,97500000.0,97524000.0,2.39499883,233562614.29825
2024-03-21 19:54:00,97524000.0,97629000.0,97524000.0,97629000.0,2.74567411,267916340.65696
2024-03-21 19:55:00,97629000.0,97670000.0,97545000.0,97590000.0,4.8344791,471891061.62459
2024-03-21 19:56:00,97590000.0,97630000.0,97530000.0,97530000.0,4.87354079,475495751.20166
2024-03-21 19:57:00,97530000.0,97530000.0,97513000.0,97513000.0,1.95723691,190864587.39424
2024-03-21 19:58:00,97514000.0,97516000.0,97484000.0,97500000.0,2.14199334,208852978.14022
2024-03-21 19:59:00,97501000.0,97547000.0,97473000.0,97490000.0,2.12626285,207306265.00323
2024-03-21 20:00:00,97490000.0,97630000.0,97473000.0,97509000.0,1.55207926,151383884.8593
2024-03-21 20:01:00,97561000.0,97578000.0,97501000.0,97530000.0,2.4139309,235465327.78449
2024-03-21 20:02:00,97530000.0,97577000.0,97501000.0,97510000.0,1.87176794,182545513.59229
2024-03-21 20:03:00,97545000.0,97545000.0,97501000.0,97501000.0,1.41037882,137522468.00314
2024-03-21 20:04:00,97501000.0,97502000.0,97490000.0,97490000.0,1.70518364,166251930.16079
2024-03-21 20:05:00,97490000.0,97500000.0,97472000.0,97472000.0,1.2952111,126257846.89558
2024-03-21 20:06:00,97473000.0,97473000.0,97403000.0,97435000.0,2.56860174,250310139.54416
2024-03-21 20:07:00,97435000.0,97462000.0,97347000.0,97347000.0,1.95835729,190736770.72293
2024-03-21 20:08:00,97347000.0,97400000.0,97345000.0,97355000.0,3.3256492,323778889.37738
2024-03-21 20:09:00,97355000.0,97399000.0,97326000.0,97330000.0,1.62366695,158042992.53617
2024-03-21 20:10:00,97330000.0,97468000.0,97314000.0,97451000.0,3.53797202,344514576.86267
2024-03-21 20:11:00,97451000.0,97547000.0,97408000.0,97547000.0,3.18086499,310012070.35931
2024-03-21 20:12:00,97547000.0,97670000.0,97447000.0,97574000.0,3.44911209,336662312.2014
2024-03-21 20:13:00,97576000.0,97670000.0,97574000.0,97665000.0,2.8937844,282499851.06565
2024-03-21 20:14:00,97664000.0,97664000.0,97584000.0,97661000.0,2.30325014,224806843.11549
2024-03-21 20:15:00,97600000.0,97678000.0,97597000.0,97597000.0,3.28498128,320787581.08094
2024-03-21 20:16:00,97596000.0,97637000.0,97592000.0,97620000.0,2.21547755,216232176.32898
2024-03-21 20:17:00,97599000.0,97624000.0,97591000.0,97591000.0,2.19817609,214542371.24345
2024-03-21 20:18:00,97593000.0,97618000.0,97591000.0,97617000.0,2.82294403,275519377.59118
2024-03-21 20:19:00,97616000.0,97616000.0,97451000.0,97489000.0,5.74559986,560555601.50099
2024-03-21 20:20:00,97489000.0,97502000.0,97369000.0,97405000.0,2.4007833,233952200.69883
2024-03-21 20:21:00,97400000.0,97454000.0,97355000.0,97411000.0,1.8291355,178154170.36136
2024-03-21 20:22:00,97411000.0,97452000.0,97365000.0,97365000.0,0.9309561,90666891.49575
2024-03-21 20:23:00,97365000.0,97429000.0,97364000.0,97429000.0,2.11690959,206126567.52087
